Origin_desc,Total_Scheduled_Departure,Canceled_Flights,Operated-Flights
Ralph Wien Memorial Airport,663,22,641
Range Regional Airport (Chisholm-Hibbing Airport),898,20,878
Rapid City Regional Airport,3265,48,3217
Redding Municipal Airport,727,21,706
Redmond Municipal Airport (Roberts Field),2152,30,2122
Reno/Tahoe International Airport,13011,133,12878
Rhinelander-Oneida County Airport,954,15,939
Richmond International Airport,15355,423,14932
Rick Husband Amarillo International Airport,4214,134,4080
Roanoke Regional Airport (Woodrum Field),2282,59,2223
Rochester International Airport,2054,79,1975
Rock Springs-Sweetwater County Airport,690,18,672
Rogue Valley International Airport,2476,39,2437
Ronald Reagan Washington National Airport,73794,2027,71767
Roswell International Air Center,974,55,919
Sacramento International Airport,37212,358,36854
Salt Lake City International Airport,97210,395,96815
San Angelo Regional Airport (Mathis Field),1628,77,1551
San Antonio International Airport,29788,331,29457
San Diego International Airport (Lindbergh Field),70207,785,69422
San Francisco International Airport,148008,2148,145860
San Luis Obispo County Regional Airport (McChesney Field),3133,65,3068
Santa Barbara Municipal Airport (Santa Barbara Airport),6017,127,5890
Santa Fe Municipal Airport,1504,60,1444
Santa Maria Public Airport (Capt G. Allan Hancock Field),664,12,652
Sarasota-Bradenton International Airport,3370,39,3331
Savannah/Hilton Head International Airport,7542,145,7397
Sawyer International Airport,304,8,296
Seattle-Tacoma International Airport,110899,450,110449
Shreveport Regional Airport,6099,150,5949
Sioux Falls Regional Airport,5331,154,5177
Sioux Gateway Airport,620,29,591
Sitka Rocky Gutierrez Airport,1342,9,1333
Sloulin Field International Airport,2542,29,2513
South Bend International Airport (South Bend Regional),4454,101,4353
Southwest Florida International Airport,27350,326,27024
Southwest Georgia Regional Airport,876,9,867
Southwest Oregon Regional Airport (North Bend Municipal),275,10,265
Spokane International Airport,9505,49,9456
Springfield-Branson National Airport,6236,174,6062
St. Cloud Regional Airport,83,5,78
St. George Regional Airport,1777,6,1771
St. Louis International Airport at Lambert Field,46963,647,46316
Stewart International Airport,695,12,683
Syracuse Hancock International Airport,5608,146,5462
Tallahassee International Airport,3194,42,3152
Tampa International Airport,63906,624,63282
Ted Stevens Anchorage International Airport,16005,124,15881
Texarkana Regional Airport (Webb Field),978,60,918
The Eastern Iowa Airport,6832,224,6608
Theodore Francis Green State Airport,11058,267,10791
Toledo Express Airport,962,65,897
Trenton Mercer Airport,2830,51,2779
Tri-Cities Airport,2433,29,2404
Tri-Cities Regional Airport,1928,21,1907
Tucson International Airport,15117,154,14963
Tulsa International Airport,13970,231,13739
Tyler Pounds Regional Airport,2300,100,2200
University Park Airport,911,25,886
University of Illinois - Willard Airport,2116,117,1999
Valdez Airport,206,6,200
Valdosta Regional Airport,935,8,927
Valley International Airport,3079,43,3036
Waco Regional Airport,1612,73,1539
Washington Dulles International Airport,34305,555,33750
Waterloo Regional Airport,617,35,582
Westchester County Airport,7443,279,7164
Westerly State Airport,208,0,208
Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),8096,195,7901
Wichita Falls Municipal Airport/Sheppard AFB,1234,61,1173
Wiley Post-Will Rogers Memorial Airport,855,27,828
Wilkes-Barre/Scranton International Airport,1359,28,1331
Will Rogers World Airport,16144,300,15844
William P. Hobby Airport,52042,774,51268
Wilmington Airport,100,5,95
Wilmington International Airport,1860,16,1844
Worcester Regional Airport,663,26,637
Wrangell Airport,664,11,653
Yakutat Airport,662,5,657
Yampa Valley Airport (Yampa Valley Regional),703,16,687
Yeager Airport,2385,59,2326
Yellowstone Regional Airport,665,12,653
Yuma International Airport,1877,23,1854
